Idx,SampleID,Class,Diet,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42
116,D28-N004,0,Normal,0.006372908,0.010517538,0.066755129,0.298263106,0.318566506,0.031170031,0.007160376,0.488854167,0.007001037,0.001424179,0.024413052,0.007147655,0.004389916,0.017666334,NA,0.004802605,0.005580452,0.002800327,0.001086834,NA,NA,0.038222167,5.55E-04,0.02046866,9.99E-04,0.066534066,NA,0.002109864,7.93E-04,1.30E-04,0.001914906,1.00E-05,2.28E-04,3.60E-05,2.10E-04,0.002359873,1.79E-04,9.67E-06,5.52E-05,3.43E-04,6.26E-05,2.96E-04
117,D28-N005,0,Normal,0.317319726,0.06424653,0.328915925,0.981116681,0.836887619,0.047561175,0.027871112,1.138885756,0.046274113,0.006729191,0.091323239,0.091469639,0.012530475,0.03144935,NA,0.009911384,0.003803237,0.004061914,0.002359448,NA,NA,0.156975559,9.99E-04,0.017551529,0.002173321,0.066744803,NA,9.97E-04,0.002046383,9.46E-04,0.01175243,7.97E-04,0.00113367,4.72E-04,0.001513369,0.011860858,0.001453509,3.73E-04,1.50E-04,9.01E-04,7.38E-05,5.40E-04
118,D28-H001,1,High-fat diet,0.005125459,0.010194196,0.025804704,0.220165338,0.316856081,0.026164175,0.001865207,0.235355193,0.002242413,1.60E-04,0.019367494,0.001592332,0.003486258,0.016148786,NA,0.004287035,0.004865586,0.001989638,2.57E-04,NA,NA,0.018246767,9.08E-04,0.008592436,5.87E-04,0.05202943,NA,0.001442889,0.001055861,2.54E-04,0.003958317,3.22E-05,3.06E-04,3.57E-05,3.51E-04,0.001601881,3.50E-06,2.02E-04,6.74E-05,4.81E-04,5.15E-05,1.96E-04
119,D28-H002,1,High-fat diet,0.113990765,0.035436552,0.113996504,0.881337694,0.761257928,0.041283815,0.009063798,0.910220492,0.007273955,0.002194573,0.039836083,0.107431247,0.008384639,0.019140209,NA,0.005643838,0.002007607,0.002715171,0.001835568,NA,NA,0.098321677,9.14E-04,0.004927237,7.41E-04,0.039853307,NA,8.40E-04,0.002065453,2.13E-04,0.010032886,1.72E-04,0.001453618,3.13E-05,3.43E-04,0.007366521,2.17E-04,2.07E-05,1.59E-04,0.001107257,6.98E-05,4.73E-04
120,D28-H003,1,High-fat diet,0.015888296,0.012673753,0.060498141,0.431540014,0.571352489,0.01904036,0.008254175,0.497971585,0.006225303,0.001492851,0.028162708,0.011091275,0.012949019,0.017557432,NA,0.002623465,0.003008036,0.001350195,0.001218615,NA,NA,0.04650476,0.001085983,0.014465179,2.03E-04,0.073458975,NA,6.50E-04,8.70E-04,1.97E-04,0.003599829,1.53E-05,7.18E-04,3.76E-05,3.79E-04,0.002812251,1.64E-06,1.54E-06,1.21E-04,2.53E-04,5.63E-05,3.32E-04
121,D28-H004,1,High-fat diet,0.289996388,0.057627563,0.255283555,1.405027434,1.071818863,0.018332287,0.030012177,1.387793653,0.034403407,0.006392034,0.090110031,0.140402322,0.017462875,0.021629266,NA,0.002184389,8.38E-04,0.001115997,0.003781069,NA,NA,0.233254625,0.001300918,0.016161006,0.001677314,0.060450571,NA,0.001982618,0.003271749,8.15E-04,0.016302884,5.40E-04,0.002447423,4.33E-05,0.001088327,0.013568051,8.75E-04,1.91E-04,1.03E-04,6.27E-04,8.30E-05,6.82E-04
122,D28-H005,1,High-fat diet,0.001543261,0.042487751,0.211441487,0.999283127,1.785088346,0.120962354,0.015201024,1.338234777,0.013198549,0.00405317,0.099172742,9.99E-04,0.005876125,0.031321089,NA,0.016533187,0.008962303,0.009032383,0.003015902,NA,NA,0.057590687,0.001368251,0.028410413,4.60E-04,0.173046956,NA,0.001442889,0.001537928,3.47E-04,0.006989244,1.51E-04,0.004523215,4.54E-05,4.54E-04,0.010770751,3.93E-04,2.02E-04,5.22E-05,0.001421898,1.86E-04,8.61E-04
123,D56-N001,0,Normal,0.115360833,0.011231856,0.108689066,0.558137104,0.439971637,0.023635225,0.014319131,0.531844349,0.020027381,0.002606938,0.036385161,0.032699824,0.023346036,0.008911284,NA,0.003480592,0.001986426,0.002036547,0.001269303,NA,NA,0.090417006,3.92E-04,0.011577764,5.51E-04,0.04662585,NA,0.001044051,7.53E-04,6.38E-05,0.003985311,8.28E-05,0.001480978,3.19E-05,2.97E-04,0.004831536,9.81E-05,2.79E-04,9.18E-05,0.001432108,6.41E-05,3.29E-04
124,D56-N002,0,Normal,0.102433407,0.015971483,0.110609975,0.485834393,0.366068871,0.016512865,0.011570441,0.441197851,0.017658464,0.001148756,0.0239064,0.048709877,0.008607533,0.010878121,NA,0.002333322,8.52E-04,0.001258448,4.64E-05,NA,NA,0.075205908,4.34E-04,0.01224501,0.001265487,0.047024933,NA,7.46E-04,0.001881785,2.58E-04,0.011411869,4.38E-04,0.005824146,2.10E-04,3.18E-04,0.014572112,7.78E-04,6.93E-04,2.40E-05,0.001446146,1.13E-04,2.73E-04
125,D56-N003,0,Normal,0.030076064,0.00518663,0.031960405,0.103529669,0.265603662,0.034023246,0.004627852,0.287481136,0.004816059,9.98E-05,0.024637943,0.003668194,0.003501687,0.007373252,NA,0.007363898,0.00465033,0.003455997,3.14E-04,NA,NA,0.040204276,3.92E-04,0.014216977,6.87E-04,0.056536617,NA,9.45E-04,4.31E-04,1.38E-04,0.001137213,5.70E-05,5.86E-04,3.46E-05,2.10E-04,0.002079639,8.87E-05,2.63E-05,4.12E-06,5.93E-04,8.88E-05,2.06E-04
126,D56-N004,0,Normal,0.009265524,0.006323884,0.036476997,0.170588687,0.256193746,0.02989312,0.003812962,0.283846582,0.004828819,3.58E-04,0.015980828,0.002781825,0.003327428,0.011794649,NA,0.004922905,0.006480755,0.003085141,2.62E-04,NA,NA,0.030041993,6.26E-04,0.015743942,7.09E-04,0.105014184,NA,9.45E-04,3.16E-04,3.46E-04,0.002035982,1.36E-04,8.92E-04,6.28E-05,1.90E-04,0.001939536,9.42E-05,4.05E-07,2.00E-05,3.26E-04,6.53E-05,1.97E-04
127,D56-N005,0,Normal,0.184193785,0.029144186,0.160405076,0.536189759,0.763768406,0.048400651,0.020421253,0.780776038,0.035428138,0.003084997,0.095856728,0.022280991,0.013728541,0.014262797,NA,0.010051299,0.00226597,0.004865859,0.001652785,NA,NA,0.126831036,4.98E-04,0.020273249,0.002261256,0.077483677,NA,0.001348836,0.008662155,0.002080431,0.020258209,9.66E-04,0.006419502,1.01E-04,0.001483556,0.016634727,0.002418835,5.55E-04,3.07E-05,0.001367421,2.17E-04,5.38E-04
128,D56-H001,1,High-fat diet,0.035161191,0.066765885,0.175447143,0.866004702,0.738689694,0.052246318,0.010073,1.346101965,0.01038267,0.005183692,0.073305266,0.031179257,0.007079989,0.02616584,NA,0.008292176,0.001683312,0.003388517,0.0024655,NA,NA,0.050034944,0.001505444,0.004982902,0.001212918,0.042456928,NA,0.003968617,0.002140515,3.88E-04,0.01032021,4.07E-04,0.001813401,1.74E-04,4.28E-04,0.01479603,3.80E-04,4.11E-05,4.89E-05,0.001773044,1.17E-04,7.92E-04
129,D56-H002,1,High-fat diet,0.031535666,0.069671492,0.202344256,1.205231586,0.970463396,0.063301695,0.019342716,1.723407974,0.014225431,0.00679889,0.070147987,0.049084127,0.007109452,0.028976001,NA,0.008366464,0.002413433,0.004188592,0.004580183,NA,NA,0.049792083,0.001383537,0.00701489,7.21E-04,0.096130258,NA,0.003968617,0.002914402,2.95E-04,0.009577479,1.62E-04,8.87E-04,3.70E-05,3.68E-04,0.009734128,3.46E-05,2.89E-05,1.54E-04,0.001276342,8.60E-05,8.52E-04
130,D56-H003,1,High-fat diet,0.181589341,0.098475239,0.280107164,1.153744131,1.876675619,0.069948597,0.023564409,1.772547312,0.029428941,0.007967672,0.138748847,0.135072746,0.008650428,0.037470328,NA,0.007884126,0.001686546,0.004695773,0.002977959,NA,NA,0.204619498,9.12E-04,0.012707708,0.00209749,0.113972892,NA,0.001621298,0.002652807,6.18E-04,0.01536717,8.70E-04,0.009295967,2.53E-04,0.001121333,0.029642576,0.001313703,1.95E-04,1.23E-04,0.003248393,1.59E-04,0.001014742
131,D56-H004,1,High-fat diet,0.057831665,0.083206323,0.157922601,0.791510985,1.231643191,0.083800381,0.010205553,1.415861509,0.017648702,0.00552186,0.108618006,0.015662907,0.010043772,0.033570057,NA,0.015364351,0.002982923,0.007202365,0.001590176,NA,NA,0.064622391,0.001566274,0.017407863,0.001231531,0.101906856,NA,0.003968617,0.004034721,5.60E-04,0.01022748,4.46E-04,0.003474842,1.14E-04,3.03E-04,0.013336499,8.06E-04,2.06E-04,3.59E-05,0.003023758,2.31E-04,8.48E-04
132,D56-H005,1,High-fat diet,0.470060958,0.082402558,0.357203975,1.202444855,1.599478814,0.102335794,0.030197363,2.304236594,0.036427532,0.014999224,0.120712656,0.072109266,0.019281667,0.039639141,NA,0.01959142,0.003870747,0.009773918,0.003786819,NA,NA,0.305588981,0.001632878,0.023311419,0.002220426,0.192226181,NA,0.003400546,0.004085629,0.001177019,0.012628838,5.97E-04,0.006286188,4.19E-05,3.70E-04,0.033845038,9.68E-04,0.001047874,4.34E-05,0.002409701,1.36E-04,0.001222179
