Idx,SampleID,Class,Diet,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42
18,CBA4-BA,3,Normal diet supplemented with bile acids,0.167262,0.012986,0.00444,0.173199,1.051395,0.045697,0.035498,0.059313,0.001801,0.015509,0.096235,0.005304,0.003328,0.011922,0.013769,0.0071,0.002221,0.002251,0.004448,0.040715,0.010855,0.063512,0.012278,0.004459,0.002177,0.275778,6.02E-04,0.005331,0.002113,3.99E-04,0.001479,1.80E-05,0.002451,1.21E-04,3.55E-04,9.00E-04,2.18E-04,0.001757,6.10E-05,0.008239,2.72E-04,1.50E-04
19,CBA5-BA,3,Normal diet supplemented with bile acids,0.081535,0.017749,0.018042,0.114875,1.051908,0.039525,0.071274,0.859531,0.009706,0.015509,0.096235,0.004196,0.00379,0.017171,0.097727,0.023046,0.005143,0.004683,0.004891,0.00297,0.007194,0.080556,0.001774,0.019227,8.52E-04,0.284102,9.18E-04,0.008311,0.001339,5.09E-04,9.88E-04,2.40E-05,6.23E-04,8.80E-05,5.50E-05,0.002055,2.49E-04,2.42E-04,9.80E-05,0.004331,2.69E-04,3.21E-04
20,CBA6-BA,3,Normal diet supplemented with bile acids,0.105676,0.033828,0.052208,0.233929,1.047031,0.022467,0.102446,0.106654,0.01819,0.021791,0.02641,0.032276,0.006537,0.02196,0.055748,0.013186,0.001754,0.001663,0.004513,0.089468,0.009529,0.186748,7.28E-04,0.02418,0.001799,0.618275,6.48E-04,0.010953,0.002615,2.54E-04,0.0011,3.70E-05,0.002953,7.20E-05,3.75E-04,0.005449,3.40E-05,2.21E-04,8.90E-05,0.00549,5.00E-06,5.30E-04
21,CBA7-BA,3,Normal diet supplemented with bile acids,0.093859,0.019755,0.052649,0.132491,1.262487,0.065918,0.137362,0.561309,0.031134,0.015509,0.061796,0.007937,0.004004,0.018378,0.055748,0.011452,0.008591,0.006443,0.010674,0.008234,0.007233,0.07104,0.004613,0.064879,0.00134,1.342786,6.62E-04,0.003229,0.001207,2.54E-04,4.80E-04,3.90E-05,0.001093,4.00E-05,3.40E-04,5.76E-04,4.48E-04,2.88E-04,5.90E-05,0.012707,6.48E-04,0.001164
36,HGW1-BA,4,High-fat diet supplemented with GW4064,0.093067,0.047477,0.041376,0.406547,0.907702,0.093913,0.200714,0.062123,0.02693,0.013574,0.037012,0.011046,0.003,0.032817,0.133735,0.017325,0.017338,0.009697,0.013287,0.056508,0.008242,0.081901,8.66E-04,0.021486,0.001703,0.545772,7.91E-04,5.54E-04,0.00355,2.22E-04,0.011516,5.90E-05,0.002065,7.00E-05,7.11E-04,0.012964,1.09E-04,3.35E-04,8.00E-05,0.002382,1.79E-04,4.72E-04
37,HGW2-BA,4,High-fat diet supplemented with GW4064,0.068094,0.034843,0.066094,0.456984,0.681432,0.116965,0.317099,0.143526,0.055293,0.011998,0.050523,0.005069,0.003,0.052168,0.133735,0.021009,0.020871,0.005395,0.022393,0.049977,0.00899,0.104812,8.55E-04,0.03946,0.001124,0.350636,8.34E-04,0.003939,0.005206,2.45E-04,0.010496,5.50E-05,0.001021,1.01E-04,7.07E-04,0.010178,2.69E-04,4.30E-05,6.90E-05,0.005329,2.31E-04,8.19E-04
38,HGW3-BA,4,High-fat diet supplemented with GW4064,0.042915,0.041393,0.051501,0.414242,0.523724,0.058811,0.190427,0.577873,0.013848,0.0034,0.053627,0.008999,0.004348,0.042589,0.133735,0.011453,0.012684,0.003783,0.002222,0.059281,0.006761,0.104599,4.34E-04,0.035851,0.001223,0.403879,4.15E-04,0.003563,0.001117,3.14E-04,0.01393,2.00E-05,0.001459,7.20E-05,4.56E-04,0.014983,3.33E-04,6.70E-05,6.90E-05,0.0012,1.20E-05,1.91E-04
39,HGW4-BA,4,High-fat diet supplemented with GW4064,0.015998,0.004861,0.034195,0.552667,0.509532,0.006354,0.01047,0.019442,0.004834,0.004351,0.010379,0.008585,0.001716,0.005291,0.133735,0.00964,0.011151,0.005356,0.002106,0.019266,0.007457,0.075911,1.09E-04,0.027582,2.51E-04,0.371388,6.86E-04,0.001803,0.003463,5.70E-05,0.010695,2.50E-05,0.001392,6.00E-05,4.36E-04,0.011603,2.94E-04,3.50E-05,4.80E-05,0.001906,1.09E-04,3.34E-04
40,HGW5-BA,4,High-fat diet supplemented with GW4064,0.014633,0.014348,0.040099,0.349816,0.177138,0.023689,0.089094,0.034799,0.005365,0.004245,0.185228,0.007577,0.001185,0.018291,0.133735,0.01111,0.00971,0.006105,0.004094,0.019453,0.011407,0.095729,1.71E-04,0.015387,0.001182,0.296735,0.001475,1.10E-04,0.003463,3.14E-04,0.010695,3.00E-05,0.001392,9.10E-05,4.53E-04,0.011603,2.94E-04,4.40E-05,8.40E-05,6.08E-04,1.09E-04,6.87E-04
41,HGW6-BA,4,High-fat diet supplemented with GW4064,0.014786,0.00689,0.027185,0.344839,0.092681,0.027148,0.023972,0.698522,0.013849,0.006726,0.00689,0.003294,0.002969,0.021448,0.138056,0.025282,0.016764,0.004135,0.002725,0.05853,0.010479,0.126861,3.94E-04,0.06412,0.001003,0.292897,4.65E-04,0.002256,8.03E-04,4.44E-04,0.004173,2.50E-05,1.57E-04,1.31E-04,1.28E-04,0.003296,2.39E-04,3.20E-05,6.90E-05,6.44E-04,7.80E-05,3.83E-04
42,HGW7-BA,4,High-fat diet supplemented with GW4064,0.219167,0.040684,0.035124,0.493511,0.544777,0.037582,0.093052,0.081774,0.035723,0.007775,0.031729,0.021676,0.003,0.026541,0.133735,0.004167,0.007887,0.003293,0.006975,0.086827,0.008889,0.101582,4.80E-04,0.028514,0.001786,0.323488,1.37E-04,0.003571,0.002934,1.19E-04,0.023023,5.00E-05,0.003304,1.81E-04,4.82E-04,0.010771,6.20E-04,0.001185,6.50E-05,0.001274,4.40E-05,4.22E-04
43,HAB1-BA,5,High-fat diet supplemented with antibiotics,1.21994,0.012244,0.051962,0.449699,0.007465,7.77E-04,0.010889,1.022606,0.08957,0.369843,0.036125,0.187601,0.00701,2.94E-04,2.38E-04,5.51E-04,4.40E-05,1.75E-04,1.10E-04,0.071128,0.045094,0.225655,6.40E-05,0.001423,0.022081,0.001731,NA,0.00336,8.22E-04,2.43E-04,4.73E-04,4.70E-05,1.45E-04,NA,1.70E-04,0.002483,3.54E-04,2.11E-04,NA,0.001483,2.22E-04,0.001296
44,HAB2-BA,5,High-fat diet supplemented with antibiotics,1.230825,0.017924,0.042261,0.370695,0.001118,0.001029,0.022323,0.645308,0.08957,0.281969,0.037032,0.118387,0.004151,3.50E-05,2.33E-04,5.96E-04,2.82E-04,2.69E-04,8.60E-05,0.067638,0.042192,0.171303,7.00E-05,5.69E-04,0.026897,0.001904,NA,0.003105,0.002074,2.33E-04,0.002221,7.80E-05,2.00E-04,NA,2.22E-04,0.00565,3.54E-04,4.54E-04,NA,0.001483,2.22E-04,8.28E-04
45,HAB3-BA,5,High-fat diet supplemented with antibiotics,1.456577,0.023549,0.052188,0.453085,7.13E-04,7.22E-04,0.029517,0.792733,0.08957,0.555983,0.035598,0.164653,0.004046,8.67E-04,1.92E-04,3.97E-04,1.40E-05,1.96E-04,1.09E-04,0.084164,0.055116,0.348373,2.95E-04,0.003191,0.04743,0.001319,NA,0.004624,0.001428,2.34E-04,0.00152,5.90E-05,1.13E-04,NA,3.43E-04,0.005813,3.54E-04,2.90E-04,NA,0.001483,2.22E-04,7.88E-04
46,HAB4-BA,5,High-fat diet supplemented with antibiotics,4.214092,0.060783,0.144041,1.408013,9.35E-04,0.001485,0.081893,1.469546,0.08957,0.939792,0.096902,0.552643,0.01336,0.001538,4.29E-04,6.78E-04,3.37E-04,2.46E-04,8.58E-04,0.058149,0.06005,0.443517,2.95E-04,0.009501,0.068921,0.116729,NA,0.003072,0.011964,0.002113,0.039121,5.90E-05,2.26E-04,NA,0.003503,0.068059,5.84E-04,2.04E-04,NA,0.001483,2.22E-04,0.001463
47,HAB5-BA,5,High-fat diet supplemented with antibiotics,0.286908,0.123389,0.093054,0.898569,2.01295,0.212703,0.395999,0.914125,0.08957,0.067742,0.520849,0.034522,0.010385,0.061408,4.28E-04,0.036153,0.022155,0.017421,9.50E-05,0.149711,0.013687,0.154571,0.001053,0.052631,0.011699,0.787525,NA,0.002311,0.002663,4.64E-04,0.003779,8.50E-05,0.00204,NA,3.21E-04,0.007519,7.50E-04,6.40E-05,NA,0.002654,2.22E-04,9.71E-04
48,HAB6-BA,5,High-fat diet supplemented with antibiotics,1.093606,0.008892,0.069916,1.321511,0.003457,6.64E-04,0.038107,0.89193,0.08957,0.138899,0.026159,0.178736,0.006437,5.12E-04,2.77E-04,3.27E-04,0.00381,1.34E-04,1.71E-04,0.050403,0.033867,0.29507,1.28E-04,0.005564,0.02552,0.002713,NA,0.002421,8.53E-04,2.09E-04,0.003305,3.80E-05,9.00E-05,NA,1.76E-04,0.006684,3.54E-04,2.12E-04,NA,3.11E-04,2.22E-04,7.85E-04
49,HAB7-BA,5,High-fat diet supplemented with antibiotics,2.127274,0.029051,0.074344,2.058318,0.002611,8.15E-04,0.054931,0.860119,0.08957,0.153351,0.027772,0.405972,0.004599,1.47E-04,2.68E-04,2.68E-04,2.60E-05,7.60E-05,1.34E-04,0.044921,0.054602,0.252434,2.95E-04,0.006535,0.039626,0.005922,NA,0.003054,0.0029,1.58E-04,0.005266,4.60E-05,9.50E-05,NA,2.65E-04,0.007995,4.30E-05,1.12E-04,NA,0.001483,2.22E-04,7.05E-04
50,D00-N001,0,Normal,0.018528393,0.007086881,0.019626596,0.158634576,0.132222725,0.012578781,0.020100733,0.497545844,0.005650099,0.023609423,0.004540315,9.23E-04,0.002330981,0.011041969,0.10415061,0.002247877,0.002878574,0.001348587,7.13E-04,0.040509275,0.001746622,0.054236357,9.96E-04,0.026472689,0.001267486,0.144328154,5.61E-04,7.26E-04,6.95E-04,3.02E-04,0.002344382,1.45E-05,3.38E-04,1.37E-04,1.15E-04,0.003076315,2.40E-04,3.46E-05,4.11E-05,6.25E-04,5.86E-05,3.39E-04
51,D00-N002,0,Normal,0.005683542,0.003957438,0.011539717,0.103180571,0.270558124,0.0088361,0.012778378,0.162638179,0.003015961,0.012070015,0.004540315,0.001075235,0.001967193,0.007344099,0.011709392,8.22E-04,0.002467441,7.24E-04,0.006625345,0.009954843,0.001737009,0.016504378,0.001796634,0.020066684,0.001515279,0.107015555,3.35E-04,0.001421486,4.89E-04,3.02E-04,0.001982729,6.32E-05,1.85E-04,1.64E-04,1.27E-04,2.26E-04,1.98E-04,3.73E-05,4.11E-05,2.79E-04,5.64E-05,2.22E-04
52,D00-N003,0,Normal,0.020646635,0.008305644,0.017915383,0.49917666,0.158066676,0.015211941,0.016323201,0.304605012,0.018594252,0.046803716,0.004540315,0.004997293,0.004422884,0.007985974,0.041418415,0.001034949,0.00187466,8.18E-04,0.008239094,0.005840763,0.002938317,0.042596674,9.39E-04,0.021227905,9.74E-04,0.147027175,3.35E-04,5.23E-04,5.38E-04,3.02E-04,0.004816962,8.29E-05,1.89E-04,1.37E-04,1.63E-04,0.001953902,3.11E-04,2.79E-05,4.04E-05,7.25E-04,6.17E-05,2.05E-04
53,D00-N004,0,Normal,0.003301356,0.003926649,0.006183787,0.096063585,0.196128867,0.022049984,0.011803774,0.210162465,0.004790601,0.011954538,0.004540315,0.001564747,8.18E-04,0.007882778,0.017513587,7.91E-04,0.00449845,0.001932161,0.00354659,0.006582931,0.001732849,0.024434866,0.001244833,0.024362808,0.002034762,0.125978595,5.68E-04,0.001421486,5.41E-04,3.02E-04,7.24E-04,3.78E-05,1.85E-04,1.68E-04,9.35E-05,2.83E-05,2.31E-04,2.98E-05,4.17E-05,4.66E-04,6.83E-05,2.37E-04
54,D00-N005,0,Normal,0.003888371,0.005165991,0.009095507,0.037565737,0.232965523,0.018720875,0.014217618,0.621686153,0.013466596,0.023609423,0.005165991,0.001402203,8.74E-04,0.008930728,0.117888895,0.002559953,0.004933166,0.00211084,0.00478096,0.002973651,0.001727509,0.028949242,0.002478155,0.04418415,6.39E-04,0.136735821,6.61E-05,0.001421486,4.19E-04,3.02E-04,3.17E-04,3.57E-05,9.75E-05,9.91E-05,3.76E-05,6.77E-04,1.78E-04,2.16E-05,4.11E-05,1.14E-04,3.81E-05,2.88E-04
55,Dp5-N001,0,Normal,0.003827348,7.41E-04,0.011742334,0.100313012,0.142920452,0.017734145,0.015905006,0.369511822,0.006878036,0.005864692,0.004053733,0.004786922,0.003697165,0.005409808,0.073615202,0.003036622,0.002701611,0.001353869,0.00288696,8.70E-04,0.003965347,0.03044855,0.001927187,0.012820995,6.32E-04,0.065218515,1.81E-04,6.26E-04,0.001031536,2.63E-04,0.002031578,3.65E-05,7.95E-04,1.40E-04,6.24E-05,0.003008194,3.20E-04,1.42E-04,4.39E-05,0.001203338,7.48E-05,2.49E-04
56,Dp5-N002,0,Normal,0.023143103,0.004611933,0.009512073,0.082560166,0.051469174,0.013301684,0.010574711,0.359352088,0.006273635,0.005864692,0.004823833,0.00343995,0.003284384,0.009219827,0.144238473,0.002626408,0.00418185,0.001152605,0.00288696,0.005684435,0.003995966,0.034010488,0.001056688,0.019885348,0.001209705,0.104883408,3.80E-04,9.74E-04,6.00E-04,2.63E-04,0.001326681,2.23E-05,4.83E-04,1.28E-04,6.10E-05,0.003149833,2.47E-04,2.60E-05,4.39E-05,0.001290887,2.58E-05,2.19E-04
57,Dp5-N003,0,Normal,0.014808728,0.001708145,0.001961266,0.037296877,0.019582619,0.008865935,0.008922079,0.117920556,0.002466408,0.004445055,0.004613933,0.001445315,0.001956702,0.007511216,0.010524431,9.07E-04,0.001215951,6.65E-04,0.002953167,0.010979464,0.001664117,0.017557341,9.75E-04,0.023984734,2.57E-04,0.053808587,2.86E-04,8.00E-04,3.12E-04,2.63E-04,6.57E-04,2.30E-05,5.05E-04,1.24E-04,1.00E-04,9.47E-04,1.82E-04,2.12E-05,3.96E-05,2.47E-04,5.10E-05,2.08E-04
58,Dp5-N004,0,Normal,0.006904174,0.001250945,0.001618504,0.042488995,0.0905797,0.005824899,0.0021761,0.0821959,0.002603392,0.004379697,0.004325033,8.63E-04,0.002630344,0.006741361,0.004978565,5.63E-04,0.00239766,4.33E-04,0.001355188,0.00576349,0.004377523,0.018755987,0.002763899,0.012026025,2.93E-04,0.081716374,2.86E-04,8.00E-04,1.62E-04,2.63E-04,2.49E-04,1.19E-04,5.05E-04,1.24E-04,2.37E-04,0.008422927,4.82E-04,2.76E-05,4.64E-05,2.68E-04,4.87E-05,2.29E-04
59,Dp5-N005,0,Normal,0.009053719,0.003116661,0.003654759,0.049064973,0.119656135,0.017662358,0.009179561,0.128945348,0.002708304,0.006018742,0.004779933,0.001954803,0.001039678,0.012549654,0.016177659,0.002484667,0.006751356,0.002467107,0.006766735,0.004749436,0.001856536,0.014738759,7.74E-04,0.020646172,0.001560101,0.115459638,2.86E-04,8.00E-04,9.37E-04,2.63E-04,5.79E-04,3.92E-05,5.05E-04,3.24E-04,1.30E-04,0.001393711,2.64E-04,2.66E-05,4.59E-05,3.12E-04,5.55E-05,2.40E-04
60,Dp5-H001,1,High-fat diet,0.106844525,0.012676117,0.028919422,0.175258833,0.516181502,0.016855712,0.027763258,0.662702898,0.018118951,0.001906024,0.013425117,0.005419207,0.002147937,0.00609806,0.103711861,0.001046384,7.55E-04,8.36E-04,0.003621668,8.19E-04,0.004542649,0.033322265,0.001949228,0.006531966,0.002482189,0.050596879,2.88E-04,4.58E-04,0.0018984,4.86E-04,0.00448379,1.68E-04,0.001079232,NA,2.26E-04,0.004244914,5.34E-04,1.15E-04,9.16E-06,0.001078658,4.76E-05,3.42E-04
61,Dp5-H002,1,High-fat diet,0.02028309,0.006530323,0.003911757,0.044668049,0.186021372,0.019681665,0.012066242,0.080634205,0.003367542,0.004813162,0.012923117,0.001801994,2.95E-04,0.004307541,0.007018324,8.24E-04,0.001262988,0.001226474,0.002211366,5.14E-04,0.001313614,0.007996748,6.84E-04,0.004740701,3.43E-04,0.040510968,2.45E-04,3.14E-04,0.003354314,4.25E-04,0.005103154,1.17E-04,7.45E-04,NA,1.28E-04,0.002126245,2.37E-04,2.28E-05,4.56E-05,3.32E-04,5.43E-05,2.08E-04
62,Dp5-H003,1,High-fat diet,0.038808517,0.010758577,0.003820207,0.074312,0.30555469,0.019462854,0.010559145,0.108311434,0.00388592,0.008399669,0.022584117,0.002302253,7.50E-04,0.005132886,0.01173807,5.72E-04,0.001355617,6.92E-04,0.003444367,4.59E-04,0.002639935,0.00892105,7.61E-04,0.006816534,4.36E-04,0.059339001,2.45E-04,3.14E-04,0.009674998,4.73E-04,0.022041166,1.21E-04,0.001518433,NA,4.91E-04,0.008487128,9.26E-04,3.23E-05,6.24E-05,5.99E-04,8.16E-05,2.55E-04
63,Dp5-H004,1,High-fat diet,0.089202114,0.007068609,0.001600284,0.028633158,0.208672316,0.01877505,0.011353177,0.078120132,0.001569657,0.003233481,0.012812117,9.38E-04,1.96E-04,0.006177503,0.00937956,5.21E-04,0.001793376,9.94E-04,0.004698735,8.00E-04,0.001188114,0.006161802,7.87E-04,0.006361084,2.08E-04,0.051279461,2.45E-04,3.14E-04,0.001607012,3.17E-04,0.007873472,5.93E-05,1.42E-04,NA,4.33E-04,0.00345352,3.55E-04,4.92E-05,8.12E-05,3.54E-04,6.70E-05,2.55E-04
64,Dp5-H005,1,High-fat diet,0.066900251,0.003209511,0.001004677,0.036345824,0.08724235,0.013003873,0.006241228,0.087673884,0.002946101,0.003687856,0.013476117,0.002465123,3.68E-04,0.005962145,0.009206778,5.37E-04,0.003078262,0.001000356,0.004132203,0.001892869,0.001351236,0.01003357,5.41E-04,0.009087634,3.93E-04,0.071283157,2.79E-04,3.14E-04,0.012883837,4.25E-04,0.005419018,2.50E-04,2.23E-04,NA,1.80E-04,0.001049664,3.47E-04,2.62E-05,6.48E-05,3.40E-04,6.75E-05,2.36E-04
65,D01-N001,0,Normal,0.010598521,0.004910307,0.007470167,0.102676637,0.16941447,0.00852059,0.008843131,0.249071857,0.00441191,0.005985639,NA,0.001404863,0.002417523,0.006899142,0.060214032,0.001282147,0.003304243,7.71E-04,4.01E-04,0.006791785,0.002833906,0.028421964,0.001074663,0.010064854,0.001007845,0.05048191,8.30E-04,3.50E-04,5.11E-04,2.94E-04,7.76E-04,1.72E-05,1.22E-04,1.36E-04,5.54E-05,5.92E-04,2.27E-04,2.73E-05,4.13E-05,1.60E-04,3.47E-05,2.22E-04
66,D01-N002,0,Normal,0.109391927,0.005423579,0.03773763,0.198436607,0.076160071,0.010489671,0.014229487,0.884639309,0.004711546,0.003232879,NA,0.023437134,0.014201066,0.008466717,0.021781619,0.003068829,0.002152713,6.02E-04,0.003898547,0.008166025,0.011069176,0.115143666,0.001290017,0.010585171,0.006960551,0.104093108,7.26E-04,0.002219342,4.88E-04,2.94E-04,0.001318494,1.20E-05,1.14E-04,1.03E-04,4.19E-05,0.001612332,1.87E-04,2.20E-05,4.13E-05,6.66E-04,2.52E-05,4.14E-04
67,D01-N003,0,Normal,0.006719688,0.002852926,0.005594445,0.061791178,0.027865358,0.014679815,0.00573245,0.168709029,0.00319814,0.008268652,NA,0.001974808,0.002250593,0.010655105,0.016923064,0.001180572,0.004758548,0.00117159,0.0030372,0.002874904,0.00211729,0.028746302,0.00134687,0.025675829,0.014741076,0.110452471,9.43E-04,0.001006881,5.53E-04,3.20E-04,0.002355563,1.63E-04,1.56E-04,1.70E-04,1.78E-04,7.13E-04,2.26E-04,2.68E-05,4.08E-05,2.79E-04,5.36E-05,2.39E-04
68,D01-N004,0,Normal,0.003152842,0.002340575,0.001168238,0.059003103,0.077864192,0.009498923,0.002514818,0.07767577,0.003821145,0.005121824,NA,6.16E-04,0.001391393,0.006588946,0.005410227,7.76E-04,0.004289909,0.001076574,0.005689807,0.012594484,0.00204659,0.025633291,8.21E-04,0.021151033,0.015858461,0.10718019,8.30E-04,0.001006881,2.38E-04,2.68E-04,3.07E-04,4.35E-05,1.56E-04,1.36E-04,8.56E-05,7.64E-04,1.91E-04,2.87E-05,4.13E-05,2.67E-04,4.00E-05,2.12E-04
69,D01-N005,0,Normal,0.005335162,0.002452291,0.012575663,0.070595227,0.284317784,0.018004335,0.006615351,0.163757844,0.008126507,0.007319202,NA,0.005727086,0.002249282,0.00545972,0.018101767,0.001238341,0.004614137,0.001858657,0.00646577,0.007755688,0.001557987,0.027574843,9.59E-04,0.024712486,0.019268568,0.14058954,8.30E-04,0.001006881,2.91E-04,2.94E-04,0.004629692,1.15E-04,1.56E-04,1.36E-04,1.07E-04,0.001560459,2.52E-04,2.42E-05,4.17E-05,3.16E-04,5.29E-05,2.37E-04
70,D01-H001,1,High-fat diet,0.649831317,0.029734973,0.085470829,0.493104429,0.607135269,0.017698275,0.025532504,0.865884123,0.044196972,0.004017,0.029734973,0.024495968,0.010641262,0.008311294,0.152021568,8.03E-04,7.99E-04,4.59E-04,0.003063926,8.17E-04,0.018878865,0.09659928,0.001094481,0.008485207,1.88E-04,0.045164847,2.35E-04,0.001344955,0.003655661,6.66E-04,0.009676538,1.51E-05,0.001041686,1.11E-04,2.27E-04,0.004642305,2.57E-04,4.67E-04,6.91E-05,9.58E-04,5.45E-05,2.99E-04
71,D01-H002,1,High-fat diet,0.023310912,0.008632886,0.013313203,0.078757539,0.349854604,0.024575984,0.020815174,0.498361372,0.01377119,0.008181009,0.029734973,0.00314913,0.001268006,0.004262376,0.130508642,0.002106916,0.001777795,0.00119994,0.003063926,0.001102947,0.001642,0.013144396,0.0010503,0.008425962,1.71E-04,0.071916602,2.82E-04,0.001344955,0.001455399,3.79E-04,0.004495845,1.61E-05,4.49E-04,2.13E-04,8.17E-05,0.003033529,2.55E-04,4.50E-04,5.61E-05,0.001400795,3.87E-05,2.37E-04
72,D01-H003,1,High-fat diet,0.117758883,0.01864242,0.024500225,0.196848382,0.500577832,0.02749633,0.019082174,0.275851026,0.012932875,0.021049803,0.029734973,0.010092952,0.001407791,0.006227055,0.019366096,7.22E-04,0.001571955,0.001061641,0.002539342,8.17E-04,0.004402232,0.033652853,9.82E-04,0.007883427,1.53E-04,0.071002614,2.54E-04,0.001344955,0.001000645,3.31E-04,0.002865187,1.72E-04,2.24E-04,1.62E-04,2.38E-04,9.94E-04,3.90E-04,1.30E-04,4.19E-05,8.07E-04,8.92E-05,2.52E-04
73,D01-H004,1,High-fat diet,0.005956064,0.00288581,0.002484662,0.03899917,0.102321146,0.018360263,0.001097834,0.112572906,0.003190531,0.003968898,0.029734973,0.008576618,7.87E-04,0.004173566,0.125255075,0.00106114,0.001283513,7.49E-04,0.003383866,8.98E-04,0.001161525,0.007655194,7.74E-04,0.00506835,6.13E-05,0.024782366,2.82E-04,0.001344955,0.001905377,3.99E-04,0.004303043,4.17E-04,7.11E-04,3.67E-04,2.36E-04,6.59E-04,2.77E-04,4.39E-05,5.74E-05,4.77E-04,6.44E-05,2.66E-04
74,D01-H005,1,High-fat diet,0.401207503,0.020226738,0.038990955,0.243469211,0.505868922,0.012660985,0.015403007,0.425359384,0.038405803,0.002901454,0.020226738,0.026944862,0.003289846,0.004897404,0.161290016,0.001426923,2.20E-04,6.04E-04,0.003229526,0.002328241,6.16E-04,0.041115348,3.92E-04,0.005166789,7.82E-04,0.021421965,1.46E-04,5.46E-05,0.005507506,3.85E-04,0.011231467,1.96E-05,0.001693995,1.15E-04,3.76E-04,0.004570378,3.66E-04,1.98E-04,5.50E-05,3.98E-04,3.68E-05,2.11E-04
75,D02-N001,0,Normal,0.010803792,0.008141783,0.021296704,0.125583685,0.336457732,0.008505434,0.038980847,0.546703042,0.002535324,0.013972304,NA,0.003794167,0.008172352,0.007995507,0.0868185,0.00226078,0.001096689,8.23E-04,5.87E-04,0.003364438,0.016855388,0.033872839,9.06E-04,0.008532762,0.001261696,0.059234845,2.93E-04,5.45E-04,4.18E-04,3.33E-04,6.70E-04,1.82E-05,1.21E-04,1.72E-04,4.33E-05,0.001632572,1.80E-04,2.81E-05,7.63E-05,7.33E-04,3.21E-05,2.90E-04
76,D02-N002,0,Normal,0.228084524,0.008866566,0.050813513,0.268658453,0.123644868,0.016561514,0.042663077,0.894468462,0.010553578,0.004947273,NA,0.007385193,0.010537614,0.017628607,0.294968674,0.002729181,0.001821152,0.001653003,0.002169998,0.004403712,0.020644901,0.139955202,9.38E-04,0.028701439,5.75E-04,0.175970394,2.93E-04,0.004143719,0.001337931,3.33E-04,0.003406611,1.81E-05,3.66E-04,1.87E-04,5.38E-05,0.0029313,2.26E-04,3.45E-05,7.63E-05,1.85E-04,4.59E-05,3.40E-04
77,D02-N003,0,Normal,0.115161967,0.005618485,0.017451322,0.317118096,0.072242079,0.01387686,0.015833753,0.239846553,0.00570619,0.032882913,NA,0.008173405,0.010866639,0.015255795,0.022536384,0.001463704,0.004415681,0.001328599,0.009039019,0.004403712,0.022950299,0.098778316,9.49E-04,0.027997974,0.010926625,0.161304733,4.09E-04,3.23E-04,4.09E-04,3.31E-04,0.002943878,2.23E-04,2.26E-04,1.72E-04,2.61E-04,4.33E-04,3.14E-04,2.34E-04,4.98E-05,3.66E-04,6.30E-05,2.69E-04
78,D02-N004,0,Normal,0.006735195,0.003873262,0.002204381,0.089903012,0.060135046,0.014114979,0.007944893,0.179438824,0.005881192,0.009206672,NA,9.33E-04,0.002929388,0.011462843,0.015922705,0.001976577,0.005724272,0.001978974,0.00830094,0.006188125,0.002287519,0.241878059,7.50E-04,0.023099781,0.00277174,0.134092417,2.93E-04,0.001712743,3.98E-04,3.33E-04,0.002502448,2.93E-05,2.26E-04,1.71E-04,9.59E-05,4.89E-04,2.01E-04,2.71E-05,1.29E-04,3.63E-04,5.62E-05,2.31E-04
79,D02-N005,0,Normal,0.008108374,0.002717793,0.002868696,0.084384306,0.060249519,0.010508778,0.005188233,0.135521855,0.00758401,0.008852359,NA,0.001632941,0.005226655,0.006955966,0.015995865,0.001112107,0.00474373,0.001125613,0.002898367,0.003658574,0.002636319,0.028044967,8.65E-04,0.018510058,0.004231906,0.132670281,2.93E-04,0.001712743,2.16E-04,3.36E-04,5.57E-04,4.84E-05,2.26E-04,2.04E-04,1.12E-04,0.001412736,2.47E-04,2.51E-05,5.05E-05,3.74E-04,6.34E-05,2.76E-04
80,D02-H002,1,High-fat diet,0.033998628,0.005059183,0.012088921,0.136042573,0.229970462,0.010948061,0.012725811,0.201695153,0.005708583,0.001942968,0.020226738,0.00494946,0.002433709,0.004719931,0.052384291,0.001177579,8.95E-04,6.68E-04,0.003229526,0.002328241,0.00214777,0.010742444,4.17E-04,0.003716158,3.57E-04,0.035027339,5.66E-04,1.83E-04,0.002249054,4.03E-04,0.006036792,3.40E-05,1.63E-04,1.61E-04,1.76E-04,0.001698189,2.78E-04,3.77E-05,5.50E-05,3.27E-04,3.54E-05,1.75E-04
81,D02-H003,1,High-fat diet,0.02023014,0.005181309,0.005106776,0.037329637,0.202644399,0.022805962,0.025555895,0.184618923,0.004626013,0.005074743,0.020226738,0.003736127,0.002461067,0.005460376,0.020130471,0.00160494,0.001480883,0.001815654,0.00391203,0.001669859,0.001796127,0.009962168,1.16E-04,0.002994406,0.001825199,0.047581347,3.26E-04,1.19E-04,0.00184345,2.87E-04,0.00437128,9.38E-05,9.29E-04,1.61E-04,1.61E-04,4.30E-04,2.44E-04,2.45E-05,4.46E-05,4.14E-04,7.61E-05,2.48E-04
